FIPS,"2,4-D","2,4-DB",ACETOCHLOR,ALACHLOR,ATRAZINE,BENTAZONE,BIFENTHRIN,BROMOXYNIL,CARBARYL,CARBOFURAN,CHLOROTHALONIL,CHLORPYRIFOS,CLETHODIM,CLOPYRALID,CYFLUTHRIN,CYHALOTHRIN-LAMBDA,DICAMBA,DIMETHENAMID,DIMETHOATE,ESFENVALERATE,ETHALFLURALIN,GLYPHOSATE,IMAZETHAPYR,MALATHION,METOLACHLOR-S,METRIBUZIN,NICOSULFURON,PARAQUAT,PENDIMETHALIN,PERMETHRIN,PICLORAM,PROPICONAZOLE,RIMSULFURON,SETHOXYDIM,TERBUFOS,THIFENSULFURON,TRICLOPYR,TRIFLURALIN,ZETA-CYPERMETHRIN
01049,9.5478549223425,5.794232377578273,6.651830238143548,7.517194710468598,8.779788198491374,6.948609272990403,,1.7227665977411035,5.23750522715128,5.674010316322531,6.267390283861161,6.336294616678791,2.388762789235098,3.0492730404820207,1.6486586255873816,4.242764567340374,5.6866363158212305,5.504518197131935,2.2512917986064953,2.9231615807191558,4.9849755473156785,9.04728011951898,4.361823927356363,2.451005098112319,7.797373439440457,5.205653681684617,2.1633230256605382,7.5123990609506786,6.633976111699347,3.754198920234579,7.227589874450326,2.2823823856765264,1.1314021114911006,4.579852378003801,5.396804313262691,1.308332819650179,4.71760561531788,7.334590412826494,2.1972245773362196
01051,6.000424288479454,6.44587853694801,4.91338990965742,5.488110938180692,6.466144724237619,2.70805020110221,2.066862759472976,3.8958936234982624,4.592084946439436,3.5751506887855933,4.602165676967792,6.8970986987936085,2.6461747973841225,1.824549292051046,0.8754687373538999,4.22683374526818,5.19295685089021,3.9435216724875173,3.8979240810486444,2.2407096892759584,1.7749523509116738,9.390434449779786,1.8870696490323797,3.2108436531709366,7.088492247645854,3.3141860046725258,0.9555114450274363,6.775594375379798,7.2416527752308815,3.0819099697950434,3.2846635654062037,2.2617630984737906,0.33647223662121295,2.174751721484161,5.291292751611072,0.4054651081081644,4.014579593753238,6.1450436350362825,4.151039905898646
01053,6.646260636284004,7.152268856032539,5.21330399222108,5.182345190295616,8.255048902752295,3.3250360206965914,3.2108436531709366,4.675628649636653,5.327876168789581,5.0369526024136295,5.4785534168509695,7.154146497016037,2.6946271807700692,2.0918640616783932,2.4069451083182885,3.758871825933971,5.6065370902173655,,4.119037174812473,2.4849066497880004,6.467853993552845,9.457012932327386,0.832909122935104,5.903452669784769,6.6670840107997105,4.666265285347902,1.5040773967762742,6.051147549269156,7.2560855023853055,3.054001181677967,3.126760535960395,3.591817741270805,0.33647223662121295,2.5257286443082556,6.6537658474968255,1.547562508716013,5.149817358229593,6.40704498895724,4.715816706075155
01055,8.31043958808163,4.929425238670713,4.418840607796598,5.304796332645746,6.563714472860972,4.623010104116422,,2.9601050959108397,3.9982007016691985,3.927896354584436,5.231643233280044,4.888090941338162,0.6418538861723948,1.1314021114911006,1.0647107369924282,3.66612246699132,4.74493212836325,3.295836866004329,3.3463891451671604,1.6863989535702288,4.136765278106052,8.345194173425199,2.1633230256605382,1.5040773967762742,6.200306313711332,2.954910279033736,0.5877866649021191,5.35800036870921,5.859931157146132,2.5416019934645457,6.420646181833463,0.9555114450274363,0.18232155679395465,3.910021002757473,3.190476350346503,0.09531017980432487,3.9219733362813143,5.061961921261596,2.4336133554004498
01057,6.902642229595314,5.794536837924666,5.258536496536192,6.554787739831727,8.926915889777042,2.0149030205422647,,2.0412203288596382,1.840549633397487,3.572345637857985,2.928523523860541,6.508918157164194,0.33647223662121295,1.791759469228055,0.4700036292457355,3.3141860046725258,4.798266815950004,4.119037174812473,2.2192034840549946,0.8754687373538999,1.410986973710262,7.793957868539007,2.517696472610991,1.9600947840472698,6.5537909437363755,2.681021528714291,0.832909122935104,6.225548038460526,5.931714542702208,2.1041341542702074,3.4242626545931514,0.18232155679395465,0.832909122935104,1.410986973710262,3.8437441646748516,0.18232155679395465,4.661550519424199,5.59508305773286,2.3513752571634776
01059,8.017736034387408,2.468099531471619,4.56746831880408,6.020294928775859,7.49986591536431,1.589235205116581,2.1162555148025524,2.2925347571405443,3.417726683613366,4.012772908528289,3.966511190712216,6.263398262591624,1.4816045409242156,1.252762968495368,0.5877866649021191,2.8903717578961645,5.684599655239428,3.4404180948154366,2.833213344056216,1.1631508098056809,1.4350845252893227,8.172813775285912,2.128231705849268,2.5494451709255714,6.417548942418882,3.977810745966149,1.7404661748405046,5.789042318607025,6.3726369626471016,3.122364924487357,5.5782192516808555,1.3609765531356006,0.26236426446749106,2.772588722239781,4.824305715904762,1.3609765531356006,5.057518879995106,2.322387720290225,2.0014800002101243
01061,7.120363528380964,8.068246304696112,6.236369590203704,6.214208018400852,8.284125558904334,5.790265934544339,3.505557396986398,4.575741375297279,6.147613229597914,5.772686453303412,10.77554631586479,6.440148774336123,3.7400477406883357,3.0301337002713233,1.840549633397487,3.983413001514819,5.214935757608986,5.967427969279741,4.575741375297279,4.07753744390572,8.673752396986751,9.492544970419596,2.1162555148025524,6.821325550983749,7.69147415772647,4.912654885736052,0.9162907318741551,6.891829128431878,8.760562809775125,4.007333185232471,3.8480176754522337,7.171042194599196,0.7419373447293773,4.241326752570746,7.686483647632288,0.9555114450274363,6.419180264150966,8.266729829447065,3.0106208860477417
01063,4.616110126026426,6.5289807861270175,2.9069010598473755,4.487512142519859,4.191168746857641,2.760009940032921,0.6418538861723948,1.1939224684724346,1.9021075263969205,2.028148247292285,4.136765278106052,4.824305715904762,1.0296194171811583,0.5306282510621704,0.09531017980432487,1.4350845252893227,5.389071729816501,2.0149030205422647,1.3609765531356006,0.9932517730102833,1.791759469228055,7.1113489710516316,1.9315214116032138,2.0014800002101243,4.709530201312334,3.673765816303888,0.18232155679395465,5.731397641689174,4.429625613473161,1.1939224684724346,3.407841924380824,0.18232155679395465,0.09531017980432487,2.186051276738094,3.367295829986474,0.18232155679395465,1.9600947840472698,5.262690188904886,1.3609765531356006
01065,5.2663105704129505,7.266757512679961,4.534747721691546,4.7140245909001735,5.703449085754963,2.8735646395797834,1.7404661748405046,1.9740810260220096,1.0647107369924282,2.9014215940827497,2.1400661634962708,6.381985207830324,1.3862943611198906,1.5260563034950494,0.18232155679395465,2.272125885509337,6.094021135433074,3.56953269648137,1.791759469228055,0.5877866649021191,0.18232155679395465,7.891816802574529,2.1633230256605382,0.26236426446749106,5.408516158846112,3.8155121050473024,0.7419373447293773,6.3959291548825625,5.405825574263322,2.028148247292285,4.087655574071304,1.547562508716013,0.26236426446749106,1.7749523509116738,4.8496837630384935,0.4054651081081644,2.4595888418037104,5.508173023535311,2.186051276738094
01067,6.845454252784758,7.955565380719861,5.059425458265688,6.457554277032581,7.82759968905559,5.855071922202427,2.2192034840549946,4.755312844417811,5.529825834193874,5.565669172526567,10.843231104385058,5.9740640324278145,3.7909846770510898,1.9459101490553132,1.308332819650179,3.9627161197436642,4.39197696552705,5.61349300330874,4.749270529961848,3.7328963395307104,8.744057810960864,9.403651323569738,1.5260563034950494,5.496758305221874,7.531659556799922,5.192401140956488,0.4054651081081644,6.766422102865493,8.772904605438242,3.332204510175204,3.005682604407159,7.2138419431100225,0.26236426446749106,4.152613470346076,6.500538637835167,1.1631508098056809,5.66953603592761,8.302389764377029,2.9391619220655967
