Age_Adjusted_Incd_Rate,Unemployment_rate_,Percent of adults completing some college or associate degree,Percent of adults who are high school graduates (or equivalent),Percent of adults who are not high school graduates,Percent of adults with a bachelor's degree or higher
507.8,10.78,26.3,35.3,23.6,14.7
507.7,5.4,29.0,36.3,23.7,11.1
507.6,4.529999999999999,27.6,31.1,12.8,28.4
507.5,6.21,23.3,41.4,18.9,16.4
507.5,4.3100000000000005,29.6,32.9,16.1,21.4
507.5,5.63,44.9,25.0,12.8,17.3
507.3,7.38,27.3,31.3,28.1,13.3
507.2,5.95,31.0,33.4,16.5,19.2
507.0,4.55,32.7,28.3,17.9,21.0
507.0,3.16,28.3,39.8,15.8,16.1
506.9,5.1899999999999995,29.4,35.0,22.6,13.0
506.7,5.720000000000001,23.1,36.2,28.0,12.7
506.7,5.9399999999999995,18.0,40.4,30.5,11.1
506.6,5.12,23.2,36.2,20.0,20.6
506.6,7.220000000000001,25.7,32.0,29.7,12.5
506.5,10.84,26.0,29.5,28.6,15.9
506.5,4.6,32.1,32.3,18.0,17.6
506.4,5.83,24.4,46.6,16.9,12.1
506.4,4.65,28.7,32.5,15.1,23.7
506.3,6.25,22.6,46.6,21.3,9.5
506.2,6.58,22.3,35.9,29.2,12.6
506.1,6.92,20.2,42.1,25.8,12.0
506.0,4.720000000000001,21.2,33.7,33.2,11.8
505.9,5.2299999999999995,23.0,36.5,19.3,21.2
505.8,5.33,28.3,40.7,18.2,12.9
505.8,6.590000000000001,20.4,36.0,35.4,8.1
505.8,2.62,36.7,22.9,9.1,31.3
505.6,7.390000000000001,20.7,45.3,25.2,8.8
505.5,5.1,21.8,41.0,22.1,15.0
505.4,5.9,22.4,39.7,26.7,11.2
505.4,6.83,28.3,42.7,16.4,12.5
505.3,4.91,31.5,30.4,19.5,18.6
505.2,4.95,30.8,34.9,20.9,13.4
505.2,7.409999999999999,26.5,38.1,25.1,10.3
505.2,3.55,28.5,37.6,12.3,21.5
505.1,4.75,30.0,37.2,18.3,14.4
505.1,4.779999999999999,20.4,37.5,28.9,13.2
505.1,4.29,22.6,31.4,34.2,11.8
505.0,5.33,32.5,34.4,15.0,18.1
505.0,8.11,20.9,51.1,21.1,6.9
504.9,6.56,25.8,33.1,32.5,8.5
504.8,6.68,26.2,31.2,23.5,19.2
504.8,4.36,31.3,31.2,9.8,27.7
504.8,7.81,19.6,34.6,35.6,10.2
504.8,7.94,28.0,42.2,19.4,10.5
504.6,5.590000000000001,29.7,32.0,22.3,16.0
504.5,6.17,15.9,47.6,24.3,12.2
504.3,4.29,20.2,36.5,28.9,14.4
504.3,6.85,19.4,35.1,36.2,9.3
504.0,5.76,17.2,17.3,22.9,42.6
503.9,6.590000000000001,24.2,35.6,27.5,12.6
503.8,3.88,27.2,33.3,14.7,24.8
503.8,7.56,20.3,46.3,22.6,10.7
503.7,6.709999999999999,17.7,40.5,32.5,9.3
503.7,5.220000000000001,30.1,29.8,20.1,20.0
503.7,6.3,27.1,36.7,25.4,10.8
503.7,4.94,26.1,38.0,21.2,14.7
503.7,6.76,24.9,44.7,17.5,12.9
503.6,5.470000000000001,28.3,35.4,20.6,15.7
503.6,6.07,26.0,33.3,28.2,12.5
503.5,7.01,29.5,38.6,18.6,13.3
503.5,5.09,23.6,32.8,22.7,20.9
503.5,6.0,29.9,25.9,17.4,26.8
503.5,4.51,29.3,40.6,15.9,14.2
503.5,4.83,28.1,29.1,14.3,28.5
503.5,11.05,23.3,42.1,21.8,12.9
503.4,4.95,25.4,28.8,29.5,16.2
503.3,8.7,21.1,37.7,29.2,12.1
503.2,7.42,35.1,32.9,15.8,16.3
503.2,5.96,29.4,39.0,15.9,15.7
503.2,4.59,37.3,32.4,9.0,21.3
503.1,6.459999999999999,28.1,39.8,14.6,17.6
503.1,3.97,30.5,39.1,12.5,17.8
503.0,6.15,21.7,43.9,22.7,11.7
503.0,4.67,34.6,34.7,15.8,14.8
503.0,4.25,28.6,34.5,19.7,17.2
503.0,6.21,27.2,29.4,19.8,23.6
502.9,8.14,19.4,43.1,26.5,11.0
502.8,10.1,14.4,34.7,42.9,8.0
502.7,6.970000000000001,27.3,38.0,16.7,18.1
502.7,8.370000000000001,15.9,36.7,39.4,8.0
502.7,5.1875,26.4,36.1,20.0,17.5
502.7,4.87,27.1,34.4,21.9,16.6
502.7,4.529999999999999,26.0,41.0,20.3,12.7
502.7,6.34,22.4,38.3,28.7,10.6
502.6,4.46,19.0,35.8,32.9,12.3
502.6,4.85,25.3,38.8,16.2,19.7
502.5,5.88,18.8,40.9,29.2,11.1
502.5,7.959999999999999,16.9,41.8,32.6,8.7
502.5,4.9799999999999995,23.1,44.3,20.0,12.6
502.4,6.09,26.3,36.4,27.8,9.5
502.3,5.05,22.8,43.8,19.7,13.7
502.3,8.28,23.5,32.9,31.4,12.2
502.3,7.15,31.3,37.0,17.6,14.2
502.3,5.75,25.1,41.2,18.8,14.9
502.3,5.24,28.9,34.9,23.1,13.2
502.3,4.7299999999999995,30.1,38.5,15.2,16.2
502.3,6.33,28.0,39.3,16.1,16.7
502.3,3.72,28.1,32.8,12.8,26.3
502.2,6.279999999999999,30.1,32.5,17.1,20.3
502.2,6.5200000000000005,25.8,37.8,24.9,11.5
502.2,6.42,23.6,45.2,20.4,10.7
502.2,4.54,23.2,37.1,24.6,15.1
502.1,5.37,22.6,43.2,22.8,11.4
502.1,2.96,30.2,38.1,15.3,16.4
502.0,6.37,20.8,35.4,34.7,9.1
501.9,5.6899999999999995,32.7,30.2,26.2,10.9
501.8,5.01,32.7,31.7,18.0,17.6
501.8,7.88,28.0,34.3,27.7,10.1
501.8,8.690000000000001,17.1,37.5,34.4,11.1
501.8,6.5200000000000005,21.0,34.3,28.5,16.3
501.7,6.720000000000001,22.3,37.6,31.9,8.3
501.7,4.29,28.2,37.4,12.2,22.2
501.5,11.24,14.3,31.2,42.1,12.3
501.5,6.220000000000001,16.6,50.2,22.2,11.1
501.4,5.86,27.9,38.3,18.6,15.2
501.4,8.28,17.1,42.4,34.2,6.3
501.4,5.9399999999999995,25.8,34.7,21.9,17.6
501.4,6.15,18.4,34.8,36.1,10.6
501.4,7.090000000000001,34.7,33.3,14.4,17.6
501.4,3.89,29.2,40.6,15.8,14.4
501.3,4.63,31.7,29.1,17.3,21.9
501.2,5.39,23.4,41.7,20.4,14.5
501.2,5.87,33.5,31.8,12.8,21.9
501.2,4.37,25.7,32.7,19.0,22.6
501.1,4.67,19.8,37.2,34.6,8.4
501.1,6.99,29.5,39.6,19.6,11.3
501.0,9.68,31.0,26.8,31.5,10.7
501.0,5.7,32.4,32.5,23.1,12.1
500.9,5.3100000000000005,28.2,31.8,24.1,15.9
500.8,7.609999999999999,37.0,27.8,14.5,20.8
500.8,4.59,25.1,35.4,15.1,24.4
500.7,5.65,23.1,31.6,26.9,18.3
500.7,5.0200000000000005,23.1,42.3,25.8,8.8
500.6,9.1,16.2,34.8,42.6,6.4
500.6,4.91,29.5,32.8,14.9,22.8
500.6,5.720000000000001,24.7,38.7,16.2,20.5
500.6,6.590000000000001,20.2,47.9,21.0,11.0
500.5,6.959999999999999,23.4,36.7,27.9,12.0
500.4,4.5,29.0,26.7,19.2,25.1
500.3,6.279999999999999,21.2,48.1,19.0,11.7
500.3,5.58,26.2,39.9,19.4,14.4
500.3,4.5600000000000005,28.0,37.2,17.7,17.0
500.2,4.33,30.2,27.6,8.0,34.1
500.1,5.74,27.9,40.6,19.7,11.8
500.1,6.16,18.5,46.4,19.4,15.8
500.1,7.0200000000000005,30.9,36.5,16.1,16.6
500.1,4.21,33.7,31.0,21.0,14.4
500.1,9.53,12.8,33.4,47.1,6.8
500.0,5.85,23.6,41.9,19.4,15.1
500.0,6.109999999999999,25.3,43.4,20.8,10.5
500.0,6.57,22.5,46.6,20.3,10.7
499.9,6.07,28.9,29.1,25.4,16.7
499.9,4.63,21.9,35.9,29.3,12.9
499.9,8.78,19.6,35.4,37.5,7.5
499.8,4.4,24.6,26.8,13.3,35.4
499.8,8.35,15.1,36.5,38.6,9.8
499.7,6.640000000000001,24.9,39.5,21.9,13.7
499.6,9.36,20.4,25.7,38.1,15.9
499.6,6.970000000000001,29.1,35.8,20.2,15.0
499.5,7.43,20.4,36.3,31.5,11.7
499.5,6.16,29.4,38.3,15.4,16.9
499.4,4.71,31.7,35.1,11.2,21.9
499.3,4.99,26.1,33.7,25.2,14.9
499.3,9.62,20.3,50.0,21.2,8.4
499.3,4.3,33.7,39.6,14.0,12.7
499.3,5.1899999999999995,24.4,34.4,19.3,21.9
499.2,4.3100000000000005,20.6,46.6,20.0,12.8
499.2,5.55,31.9,27.7,20.9,19.5
499.2,6.890000000000001,16.6,40.3,35.2,7.9
499.1,7.07,20.2,49.0,20.0,10.8
499.1,6.32,30.3,32.3,20.2,17.2
498.9,6.279999999999999,33.5,28.4,19.7,18.4
498.9,6.38,23.7,48.1,17.7,10.6
498.8,6.83,22.3,36.2,30.8,10.8
498.8,6.959999999999999,15.8,42.4,32.7,9.2
498.7,4.529999999999999,33.1,36.0,17.8,13.0
498.7,7.06,24.8,38.2,25.0,12.0
498.6,5.3100000000000005,22.8,35.0,18.9,23.3
498.5,4.55,25.6,46.6,14.5,13.3
498.5,4.9,25.8,36.0,28.5,9.7
498.4,3.2299999999999995,36.7,33.4,13.7,16.2
498.4,6.65,18.2,38.3,34.1,9.4
498.3,5.43,19.6,50.3,19.9,10.1
498.3,4.8,22.2,29.6,29.5,18.7
498.0,7.720000000000001,26.8,34.2,27.1,12.0
497.9,4.9,23.5,31.4,21.2,23.8
497.9,6.24,29.0,33.2,21.7,16.1
497.8,3.86,29.1,29.5,11.7,29.7
497.8,8.59,18.4,38.4,32.1,11.1
497.8,4.24,26.3,36.2,22.6,14.8
497.7,5.46,22.7,35.0,24.6,17.6
497.7,5.66,26.4,32.2,26.1,15.2
497.7,6.17,24.7,36.4,25.4,13.5
497.6,4.61,31.4,29.7,16.0,22.9
497.6,5.8,24.6,34.3,29.5,11.6
497.6,4.68,28.9,34.3,20.2,16.6
497.5,7.840000000000001,16.5,42.6,29.1,11.8
497.4,6.19,24.5,38.6,27.4,9.6
497.4,7.13,25.5,29.5,33.0,12.0
497.4,5.459999999999999,29.4,36.8,17.2,16.6
497.4,9.98,21.0,50.5,19.4,9.1
497.4,4.62,28.9,37.2,19.6,14.2
497.3,6.12,21.7,35.7,27.1,15.5
497.3,4.14,29.1,24.2,8.1,38.6
497.3,6.779999999999999,22.0,34.2,34.7,9.1
497.3,7.33,31.3,37.1,19.6,12.0
497.2,4.84,25.6,32.1,27.9,14.4
497.2,7.23,24.6,42.9,19.8,12.6
497.2,6.909999999999999,25.3,39.7,22.6,12.4
497.1,7.0,26.9,31.8,28.3,13.0
497.0,5.290000000000001,28.4,32.7,16.2,22.7
496.8,4.42,27.8,32.0,14.0,26.2
496.7,7.06,20.9,49.6,20.4,9.0
496.7,5.41,15.0,35.5,43.7,5.8
496.7,5.41,30.3,40.2,15.0,14.5
496.7,8.91,17.1,47.6,29.3,6.0
496.7,5.92,24.4,34.9,29.8,10.9
496.7,7.8,20.9,37.4,30.1,11.6
496.5,4.5,27.5,30.9,15.2,26.3
496.5,6.76,25.9,44.6,20.1,9.4
496.5,5.8,31.5,31.9,20.2,16.4
496.4,5.0600000000000005,28.2,32.6,21.0,18.3
496.4,5.32,30.6,33.2,22.4,13.8
496.3,6.69,23.0,42.8,22.8,11.4
496.2,7.340000000000001,23.2,41.9,20.8,14.1
496.0,6.15,24.3,28.2,37.3,10.2
495.9,5.640000000000001,22.6,31.6,36.6,9.2
495.9,5.79,21.6,38.9,29.1,10.4
495.8,5.4799999999999995,33.1,28.4,10.8,27.7
495.8,6.6,21.8,39.2,30.6,8.4
495.8,5.220000000000001,23.2,33.6,26.5,16.8
495.7,5.5200000000000005,27.8,31.9,24.9,15.4
495.7,5.35,26.2,37.9,26.9,8.9
495.7,5.51,27.6,34.8,24.1,13.4
495.7,4.18,25.1,33.6,26.5,14.7
495.6,6.01,20.3,34.2,28.9,16.5
495.5,7.19,27.8,40.9,21.0,10.3
495.5,5.2,24.0,42.7,23.8,9.5
495.4,8.14,18.0,39.7,34.8,7.5
495.3,5.18,27.5,28.2,27.0,17.3
495.2,4.26,31.4,35.3,12.2,21.1
495.0,5.72,23.8,37.9,26.2,12.1
495.0,4.1,25.4,29.0,20.2,25.5
495.0,7.6,18.8,37.3,34.9,9.1
494.9,7.0200000000000005,23.8,47.6,17.1,11.5
494.9,7.640000000000001,22.2,46.2,21.6,10.0
494.7,7.590000000000001,17.8,37.6,37.1,7.5
494.7,4.7299999999999995,27.5,40.2,21.0,11.4
494.7,7.33,25.9,34.1,18.3,21.6
494.7,3.63,27.0,39.1,17.5,16.4
494.7,6.2700000000000005,29.5,31.2,25.4,13.9
494.6,6.33,24.8,34.8,19.0,21.4
494.6,7.57,20.8,41.4,28.1,9.7
494.6,3.84,25.6,40.1,25.8,8.4
494.5,5.1,27.7,37.4,15.2,19.7
494.3,6.609999999999999,24.8,41.9,23.3,10.0
494.3,5.5200000000000005,22.0,34.6,34.0,9.4
494.3,6.33,28.3,38.7,20.3,12.6
494.2,5.709999999999999,24.3,41.7,21.0,13.0
494.2,4.529999999999999,27.8,22.4,14.2,35.6
494.2,6.94,21.0,32.8,35.5,10.7
494.2,7.43,21.1,37.0,30.4,11.5
494.1,5.05,33.4,36.8,11.9,17.9
494.1,6.08,23.3,35.6,30.0,11.1
494.1,6.1,24.0,43.1,21.2,11.7
494.1,4.85,21.2,35.9,21.2,21.7
494.0,10.17,24.6,39.8,27.8,7.8
494.0,4.24,33.4,29.2,14.6,22.9
494.0,6.99,26.1,33.2,28.0,12.8
494.0,6.409999999999999,17.3,39.1,30.9,12.8
493.9,4.95,26.3,34.7,17.0,22.0
493.9,7.470000000000001,19.3,35.7,34.2,10.8
493.9,5.9799999999999995,16.4,44.5,25.4,13.8
493.8,6.04,21.2,34.1,34.1,10.6
493.8,7.06,15.3,41.8,35.7,7.1
493.8,7.93,15.3,29.7,46.0,9.0
493.8,4.12,26.9,36.1,27.6,9.4
493.8,8.41,14.5,33.2,43.4,9.0
493.7,3.729999999999999,29.5,30.4,13.6,26.4
493.7,6.68,23.4,46.3,19.1,11.1
493.7,7.140000000000001,18.4,45.3,26.2,10.2
493.7,4.779999999999999,27.1,26.0,11.4,35.5
493.6,6.74,24.3,46.3,16.9,12.5
493.6,13.15,20.9,28.1,40.3,10.6
493.6,3.99,28.2,28.1,9.8,33.9
493.6,5.909999999999999,30.4,32.9,23.0,13.7
493.6,4.3100000000000005,23.7,40.2,14.8,21.3
493.6,4.61,24.7,35.4,28.9,11.0
493.5,7.23,25.3,36.2,30.4,8.1
493.5,4.38,28.9,34.9,25.3,10.9
493.5,5.6,27.0,27.5,29.0,16.4
493.4,4.29,33.7,33.3,12.7,20.3
493.4,7.4,22.0,38.9,26.6,12.6
493.4,7.8,24.8,33.3,31.1,10.8
493.3,4.51,24.4,40.8,18.9,15.9
493.3,7.390000000000001,28.1,31.0,25.2,15.8
493.3,4.14,29.7,39.3,16.0,15.0
493.3,4.68,28.2,35.6,20.7,15.5
493.2,4.36,34.0,31.1,16.5,18.3
493.2,5.63,20.5,40.5,24.5,14.4
493.2,3.64,27.6,43.0,15.8,13.6
493.2,4.470000000000001,27.7,36.4,11.2,24.8
493.1,8.78,34.1,34.3,18.9,12.7
493.1,7.0,24.8,45.2,18.8,11.2
492.8,5.55,21.2,42.6,17.4,18.8
492.8,7.590000000000001,18.3,40.1,29.5,12.1
492.8,5.029999999999999,20.7,44.1,24.8,10.4
492.8,4.29,18.4,38.3,34.6,8.6
492.8,5.220000000000001,28.1,30.8,19.8,21.3
492.7,6.24,20.2,38.8,29.7,11.4
492.7,5.21,27.1,39.4,21.0,12.5
492.6,11.12,21.5,36.1,32.9,9.6
492.6,5.6899999999999995,26.3,38.1,18.3,17.3
492.6,5.74,18.8,38.5,31.5,11.2
492.6,4.1899999999999995,35.2,33.1,14.4,17.3
492.6,5.029999999999999,25.9,40.0,22.4,11.7
492.5,4.0,20.6,40.4,27.0,12.0
492.5,8.42,22.8,30.7,35.1,11.4
492.5,5.21,18.5,41.2,30.2,10.1
492.3,4.12,22.3,41.4,28.1,8.2
492.2,6.74,26.7,39.7,18.8,14.9
492.1,6.69,32.5,29.1,19.1,19.3
492.0,4.9399999999999995,21.1,40.5,24.1,14.2
492.0,5.41,27.1,31.9,17.3,23.7
492.0,5.71,18.5,35.4,38.9,7.2
491.9,6.09,19.9,39.5,29.3,11.3
491.9,7.55,16.8,43.1,32.4,7.6
491.9,5.32,30.1,42.0,14.0,13.9
491.9,4.11,34.8,23.5,6.8,34.9
491.8,4.45,31.2,28.2,13.3,27.3
491.8,12.61,15.5,20.3,56.6,7.6
491.8,7.05,21.7,37.2,32.7,8.4
491.7,6.45,21.3,31.0,36.8,10.8
491.7,3.4299999999999997,29.4,29.6,11.8,29.1
491.7,5.14,26.9,33.3,19.5,20.3
491.7,4.09,34.0,27.0,19.5,19.4
491.6,3.11,31.4,35.7,10.3,22.7
491.6,8.690000000000001,32.5,38.1,16.3,13.2
491.6,5.57,28.0,31.1,16.1,24.8
491.4,5.71,29.3,31.3,24.8,14.7
491.4,6.14,38.0,34.2,13.2,14.5
491.3,7.589999999999999,24.4,30.4,32.4,12.8
491.3,7.590000000000001,35.7,32.5,16.3,15.6
491.2,6.7700000000000005,21.6,33.4,33.5,11.5
491.2,7.359999999999999,26.2,38.1,28.0,7.7
491.2,5.34,23.8,36.1,17.0,23.1
491.1,5.85,25.9,34.5,26.4,13.2
491.1,6.2,27.6,37.3,17.2,17.9
491.1,4.24,27.6,23.5,14.3,34.6
490.9,6.909999999999999,16.2,35.5,41.3,7.0
490.9,4.75,25.6,36.2,16.2,22.0
490.9,3.75,31.9,38.1,14.6,15.4
490.8,7.24,32.6,32.8,17.1,17.6
490.8,4.99,26.5,39.1,19.2,15.2
490.8,5.4,26.1,44.8,13.2,15.9
490.7,4.39,31.2,37.5,14.4,16.9
490.7,6.44,29.7,36.4,16.9,17.0
490.6,6.0600000000000005,23.9,42.8,23.6,9.7
490.5,3.979999999999999,30.5,26.2,12.7,30.6
490.5,5.37,20.2,40.9,30.0,8.9
490.4,3.76,30.0,34.4,13.1,22.5
490.4,3.4200000000000004,27.9,32.6,25.2,14.4
490.3,4.33,33.6,33.5,18.2,14.7
490.3,4.88,29.2,27.1,15.6,28.1
490.3,6.959999999999999,21.1,36.8,30.5,11.6
490.2,5.8100000000000005,16.1,36.9,30.0,17.1
490.2,3.6,31.0,31.0,11.5,26.4
490.2,3.34,30.3,39.5,16.4,13.7
490.1,6.39,23.7,31.6,34.2,10.5
490.0,7.75,21.1,36.9,28.9,13.1
490.0,4.74,29.4,43.2,12.7,14.7
489.9,6.67,17.9,43.5,31.3,7.3
489.8,5.05,38.0,32.5,10.1,19.4
489.8,5.84,32.8,30.0,17.9,19.3
489.7,6.42,14.3,52.1,22.8,10.9
489.7,6.890000000000001,18.6,34.5,34.1,12.8
489.7,7.18,22.4,34.5,33.3,9.8
489.6,3.3299999999999996,32.4,31.7,18.3,17.6
489.5,3.53,26.0,34.6,25.3,14.1
489.5,7.77,19.8,36.7,36.5,7.0
489.5,8.690000000000001,24.5,29.7,26.9,18.9
489.5,6.7299999999999995,24.1,35.5,25.5,14.9
489.4,5.96,22.9,48.4,16.3,12.4
489.4,3.3200000000000003,24.8,38.5,17.0,19.7
489.4,8.040000000000001,15.4,37.8,39.4,7.4
489.3,3.9,32.4,25.0,25.0,17.6
489.3,6.7700000000000005,17.2,38.2,36.2,8.4
489.3,6.05,21.6,38.1,31.7,8.6
489.2,4.5,23.5,44.5,20.9,11.1
489.1,3.47,28.4,38.1,14.7,18.8
489.1,6.56,23.4,33.2,26.6,16.8
488.9,5.67,27.6,32.8,21.7,18.0
488.9,5.8100000000000005,26.4,43.6,16.5,13.4
488.8,6.970000000000001,19.3,37.0,31.4,12.4
488.8,4.71,30.5,34.4,13.6,21.5
488.8,4.09,26.4,28.6,11.3,33.8
488.8,6.409999999999999,24.2,45.0,19.7,11.1
488.7,6.470000000000001,40.8,24.3,7.9,27.0
488.7,6.04,17.9,51.4,19.0,11.7
488.7,8.370000000000001,21.4,39.3,29.1,10.1
488.6,4.05,27.0,41.1,13.7,18.2
488.6,3.44,31.2,31.9,19.8,17.0
488.6,5.9799999999999995,30.4,34.5,20.3,14.8
488.6,5.09,26.4,38.5,21.1,14.0
488.5,4.83,26.8,31.3,16.7,25.2
488.5,7.56,22.1,44.7,24.6,8.5
488.5,5.66,25.0,39.2,20.6,15.2
488.5,5.2,23.9,42.3,22.8,11.0
488.4,6.87,18.5,41.3,26.6,13.6
488.4,6.13,26.6,41.4,18.4,13.6
488.3,6.709999999999999,36.5,29.8,13.1,20.6
488.2,4.42,21.6,37.7,28.7,12.1
488.2,5.89,25.9,32.2,21.3,20.6
488.2,4.61,29.7,37.9,16.3,16.1
488.2,4.76,31.1,36.5,13.3,19.1
488.1,8.08,24.2,36.7,30.8,8.3
488.1,4.8100000000000005,26.8,18.3,17.0,37.9
487.8,4.42,30.5,36.8,15.8,16.9
487.8,3.65,24.2,25.5,8.5,41.8
487.8,4.67,32.0,31.5,20.8,15.7
487.7,7.790000000000001,30.2,37.6,19.2,12.9
487.6,6.26,24.8,34.6,21.8,18.7
487.6,3.729999999999999,25.8,26.7,13.3,34.2
487.6,7.609999999999999,36.1,24.3,17.7,21.8
487.6,4.55,32.1,30.5,21.2,16.2
487.5,7.05,13.1,36.4,41.8,8.7
487.5,4.75,24.2,33.4,24.9,17.4
487.5,8.6,25.6,39.9,25.0,9.6
487.5,6.11,32.0,37.4,15.7,14.9
487.4,7.290000000000001,21.6,34.1,32.2,12.1
487.4,5.88,20.0,48.2,20.4,11.4
487.4,5.56,15.6,43.2,32.8,8.4
487.3,4.86,29.7,36.9,18.3,15.1
487.3,8.540000000000001,20.3,38.1,32.3,9.2
487.3,4.33,24.8,36.4,12.5,26.2
487.3,5.8,20.2,35.1,36.7,8.0
487.2,5.470000000000001,20.8,35.5,31.9,11.7
487.2,5.92,22.9,42.1,18.2,16.7
487.2,4.8100000000000005,33.0,30.9,21.0,15.1
487.1,5.33,30.9,24.5,13.7,31.0
487.1,5.33,20.9,42.0,25.0,12.1
487.1,5.7299999999999995,35.9,23.8,10.5,29.8
487.0,5.359999999999999,30.2,38.1,16.6,15.1
487.0,5.82,40.0,25.4,9.2,25.3
487.0,4.75,21.8,45.7,19.4,13.1
486.8,5.0,18.3,41.2,30.6,9.9
486.7,6.12,28.7,33.2,23.7,14.5
486.7,5.09,25.9,39.6,20.7,13.8
486.6,6.56,16.6,43.6,30.0,9.8
486.6,5.3,29.0,40.8,16.4,13.8
486.6,4.58,22.3,25.6,18.2,34.0
486.5,6.5200000000000005,20.6,40.6,27.9,10.9
486.4,4.74,24.6,40.2,20.8,14.3
486.2,3.5,23.4,42.8,21.5,12.4
486.2,6.17,30.4,28.2,21.1,20.3
486.2,5.76,20.8,39.6,32.7,6.8
486.1,8.47,19.4,46.5,26.3,7.8
486.1,5.62,20.2,41.4,26.8,11.5
486.1,4.39,28.7,35.0,13.5,22.9
486.1,6.16,20.6,41.0,26.4,11.9
486.0,8.45,21.4,48.8,19.0,10.9
485.9,3.87,24.4,32.4,19.6,23.6
485.8,5.81,31.3,21.9,19.6,27.2
485.8,2.82,26.9,33.6,19.6,19.8
485.7,6.55,23.4,22.4,40.4,13.8
485.6,5.0600000000000005,19.1,37.1,32.5,11.3
485.6,4.93,25.7,46.2,16.4,11.7
485.6,5.04,32.4,32.5,17.0,18.1
485.6,9.83,25.5,42.2,23.2,9.1
485.6,3.16,38.3,24.7,6.7,30.2
485.4,5.970000000000001,27.5,25.1,17.0,30.3
485.4,4.49,29.5,30.1,12.9,27.4
485.4,8.83,21.2,33.1,34.6,11.1
485.4,4.5600000000000005,30.3,42.3,14.7,12.7
485.3,5.66,30.9,36.3,20.6,12.1
485.3,9.07,9.9,39.3,42.4,8.4
485.3,7.540000000000001,18.5,38.7,32.3,10.5
485.3,6.07,23.3,34.7,32.8,9.1
485.3,7.38,23.7,45.3,19.2,11.8
485.2,5.71,24.2,45.6,17.4,12.8
485.2,7.42,21.1,28.2,31.6,19.1
485.1,5.25,25.9,34.5,20.9,18.7
484.9,6.38,21.5,33.7,31.5,13.2
484.9,9.93,27.3,40.3,22.1,10.2
484.9,6.63,25.5,43.0,21.5,10.0
484.9,5.71,21.9,40.6,18.0,19.6
484.8,6.7299999999999995,26.1,44.0,16.7,13.1
484.8,10.18,17.9,33.6,39.3,9.2
484.8,7.1,26.5,33.5,25.8,14.2
484.8,4.76,22.5,31.0,30.3,16.2
484.8,6.9799999999999995,19.5,40.2,31.5,8.8
484.5,5.16,26.8,37.9,18.8,16.4
484.5,4.99,26.5,35.1,25.8,12.5
484.5,6.35,28.9,32.1,21.6,17.4
484.5,4.390000000000001,24.9,41.2,17.4,16.5
484.3,6.290000000000001,19.2,37.5,33.0,10.3
484.3,6.859999999999999,23.1,40.6,25.5,10.7
484.3,5.8,34.3,30.6,12.6,22.4
484.2,4.89,26.9,37.7,14.8,20.7
484.2,4.8,26.9,30.4,24.0,18.7
484.1,6.37,28.6,36.5,14.9,20.0
484.1,5.68,16.2,47.0,26.0,10.8
484.1,6.590000000000001,30.2,32.4,26.5,10.9
484.0,8.24,20.2,39.8,30.7,9.3
484.0,6.5200000000000005,23.3,45.7,22.8,8.1
483.9,5.2700000000000005,37.4,27.4,15.3,19.8
483.9,8.78,19.2,24.2,45.6,10.9
483.9,4.0600000000000005,28.5,30.2,15.8,25.4
483.8,6.09,26.9,42.1,16.9,14.1
483.8,4.9,29.9,33.0,14.8,22.4
483.8,10.86,22.3,31.7,31.4,14.6
483.6,6.13,37.4,29.0,14.4,19.1
483.5,8.65,24.1,39.9,25.9,10.1
483.5,5.15,24.6,46.3,17.3,11.8
483.5,6.8,21.3,33.7,27.0,18.0
483.5,4.89,32.2,35.4,18.1,14.4
483.5,3.53,25.2,34.4,13.8,26.6
483.5,7.81,17.8,51.1,21.3,9.8
483.4,9.74,20.2,36.9,34.4,8.5
483.4,6.45,28.4,35.5,23.4,12.7
483.4,5.41,26.9,39.5,17.7,15.8
483.3,8.01,24.9,33.7,31.4,10.1
483.3,6.4799999999999995,23.1,34.2,17.1,25.7
483.3,2.91,26.3,19.8,6.3,47.6
483.2,4.51,32.7,30.6,19.0,17.7
483.2,5.31,28.6,33.2,16.7,21.6
483.2,3.53,30.3,36.6,16.8,16.3
483.1,5.4799999999999995,25.4,41.2,18.0,15.4
483.0,3.4,27.0,39.0,19.3,14.7
483.0,7.83,20.9,38.0,33.3,7.8
483.0,5.88,25.1,33.5,23.6,17.8
483.0,3.91,28.7,32.5,17.4,21.4
483.0,8.32,17.0,40.7,34.2,8.1
482.9,5.89,22.0,30.3,32.1,15.6
482.8,6.55,19.0,47.4,20.0,13.7
482.8,5.119999999999999,23.4,41.6,23.1,11.9
482.8,6.49,23.9,45.6,17.7,12.8
482.8,5.09,29.4,37.5,13.6,19.5
482.8,7.06,20.4,37.8,34.0,7.8
482.7,4.15,27.2,35.8,12.0,25.0
482.6,5.83,25.4,37.3,28.7,8.6
482.6,2.97,32.5,37.9,14.2,15.3
482.6,6.119999999999999,21.7,41.6,26.9,9.8
482.6,4.41,25.9,30.7,15.6,27.8
482.5,5.84,18.5,49.5,19.0,13.1
482.5,6.840000000000001,16.0,32.4,41.1,10.4
482.5,5.95,22.1,41.7,15.4,20.9
482.5,7.75,21.1,49.4,19.8,9.7
482.4,4.37,22.3,20.5,39.6,17.6
482.3,4.71,25.6,35.6,22.6,16.2
482.2,5.3,25.9,30.0,21.4,22.7
