Age_Adjusted_Incd_Rate,Unemployment_rate_,Percent of adults completing some college or associate degree,Percent of adults who are high school graduates (or equivalent),Percent of adults who are not high school graduates,Percent of adults with a bachelor's degree or higher
526.1,7.109999999999999,31.4,33.4,22.8,12.5
526.0,7.159999999999999,19.4,43.2,28.0,9.3
526.0,6.0600000000000005,23.6,30.3,22.1,24.0
525.8,6.2,21.5,33.8,33.3,11.4
525.7,11.19,33.5,35.1,13.2,18.2
525.7,4.790000000000001,19.0,37.4,27.9,15.6
525.7,3.4299999999999997,27.8,33.8,19.2,19.2
525.6,4.86,23.1,45.0,19.3,12.6
525.6,4.4399999999999995,20.7,37.2,31.8,10.3
525.3,5.24,26.7,32.6,17.9,22.9
525.1,5.970000000000001,15.8,36.4,39.1,8.7
525.1,5.56,27.1,38.0,21.7,13.2
525.0,4.62,25.7,36.2,20.0,18.2
524.9,5.409999999999999,26.4,36.0,26.7,10.9
524.8,2.55,30.3,40.6,13.7,15.4
524.7,7.01,23.3,39.5,26.6,10.6
524.6,5.58,22.0,38.4,30.2,9.4
524.5,6.6,23.9,45.3,19.1,11.7
524.5,7.970000000000001,23.7,44.2,19.4,12.6
524.3,5.08,21.3,33.7,29.1,15.8
524.3,5.04,22.5,29.2,32.6,15.7
524.3,2.84,31.1,36.6,18.9,13.4
524.3,6.88,23.0,34.3,23.4,19.3
524.2,5.88,23.1,35.8,26.7,14.4
524.2,5.279999999999999,27.1,39.9,18.5,14.6
524.1,8.0,17.9,32.9,41.5,7.7
524.0,6.35,19.4,41.4,29.6,9.6
524.0,5.83,23.1,32.4,24.7,19.8
523.9,4.409999999999999,27.3,29.5,17.4,25.9
523.7,5.38,21.5,39.8,27.4,11.3
523.7,7.140000000000001,18.1,39.2,32.8,9.8
523.6,6.55,23.4,42.4,20.1,14.1
523.6,7.7,18.1,31.4,41.7,8.9
523.5,5.88,31.6,34.7,17.1,16.7
523.5,5.39,25.5,34.8,19.2,20.5
523.3,7.48,16.4,48.5,24.5,10.6
523.1,5.14,28.6,35.9,21.8,13.7
523.1,4.04,34.6,31.7,13.6,20.1
522.9,7.4,20.4,41.7,26.3,11.6
522.9,7.459999999999999,22.6,42.2,23.9,11.3
522.8,6.32,35.4,31.0,18.7,14.9
522.7,4.1899999999999995,28.2,44.1,15.0,12.7
522.6,7.35,16.6,35.7,40.4,7.3
522.4,8.23,23.7,32.1,33.8,10.4
522.4,7.8,30.2,37.0,20.9,12.0
522.3,9.08,15.5,34.0,41.5,9.1
522.3,7.35,28.8,40.4,18.7,12.2
522.2,7.359999999999999,14.8,35.8,42.2,7.2
522.2,2.82,35.2,34.8,15.9,14.2
522.0,7.2,20.4,30.2,30.1,19.3
521.8,6.92,19.4,40.6,29.7,10.2
521.8,5.89,29.7,32.5,22.8,15.0
521.7,6.7700000000000005,25.6,31.5,34.1,8.8
521.7,8.959999999999999,19.7,47.5,22.4,10.4
521.7,4.01,41.8,32.0,10.5,15.7
521.5,3.88,29.2,42.1,13.0,15.8
521.3,5.9799999999999995,21.0,39.7,26.4,12.9
521.3,4.63,33.9,28.9,13.7,23.6
521.3,5.32,31.1,33.2,18.6,17.2
521.2,6.34,15.4,30.6,44.5,9.5
521.2,5.89,27.0,34.8,26.2,12.0
521.2,7.07,17.3,44.2,31.1,7.4
521.1,5.8,25.2,38.9,24.4,11.5
521.0,5.42,26.2,34.4,12.2,27.1
521.0,9.34,19.5,30.4,40.6,9.5
521.0,5.45,28.5,29.9,17.1,24.5
520.9,5.33,23.7,29.7,24.8,21.8
520.9,3.4299999999999997,29.0,39.1,12.6,19.3
520.7,5.8100000000000005,21.2,40.1,24.7,14.0
520.7,7.709999999999999,23.5,30.3,31.4,14.8
520.6,9.94,19.2,46.6,26.8,7.4
520.3,4.7700000000000005,29.6,39.3,14.5,16.6
520.2,6.56,18.7,50.4,19.4,11.4
520.2,5.54,30.5,39.3,14.2,16.0
520.1,4.65,26.1,46.3,16.0,11.6
520.0,3.18,30.6,39.3,14.3,15.8
520.0,4.4,28.3,43.6,15.4,12.7
519.8,7.08,22.7,27.6,36.2,13.5
519.8,5.1899999999999995,34.1,33.2,16.7,16.0
519.8,5.390000000000001,23.9,39.6,20.5,16.0
519.7,5.66,34.3,33.6,13.7,18.4
519.6,4.92,26.7,38.5,18.3,16.5
519.5,5.32,27.8,36.5,18.8,16.9
519.5,6.640000000000001,18.1,41.4,33.0,7.4
519.4,5.58,29.1,32.3,26.5,12.1
519.3,6.4,20.8,49.5,17.3,12.3
519.3,5.15,27.7,36.8,22.4,13.1
519.2,7.659999999999999,16.4,39.9,36.4,7.3
519.2,5.64,33.7,38.4,13.4,14.5
519.1,6.49,20.7,34.3,35.4,9.5
519.0,3.69,30.0,37.6,18.9,13.4
519.0,4.08,28.7,42.3,14.4,14.6
519.0,5.4799999999999995,29.1,36.2,17.7,17.0
519.0,7.35,20.6,34.7,32.2,12.5
518.8,6.029999999999999,21.0,37.2,30.3,11.5
518.7,5.12,18.4,50.9,20.4,10.3
518.7,4.2,30.5,43.4,12.2,13.9
518.6,6.09,21.7,39.5,25.0,13.8
518.6,7.08,24.5,34.6,29.3,11.6
518.5,7.32,16.1,41.1,33.2,9.6
518.5,5.63,21.1,47.4,19.0,12.5
518.4,6.8,26.7,39.9,22.1,11.3
518.3,2.91,27.8,23.1,10.5,38.7
518.1,6.14,29.3,35.6,22.3,12.8
518.1,4.9,25.2,32.3,20.9,21.5
518.1,3.44,32.0,38.2,11.0,18.8
518.0,5.14,26.5,40.2,21.2,12.1
518.0,5.9399999999999995,28.0,29.1,18.2,24.8
517.9,6.220000000000001,28.4,28.2,25.3,18.1
517.7,5.7,22.8,35.3,30.9,11.1
517.7,6.16,29.8,33.5,23.2,13.6
517.6,6.43,28.7,43.6,15.1,12.6
517.6,5.6899999999999995,23.3,38.3,29.2,9.1
517.6,3.82,28.7,42.4,15.0,14.0
517.6,3.78,27.1,44.5,15.6,12.8
517.5,4.84,31.1,31.6,12.6,24.7
517.5,4.05,24.5,40.6,16.0,18.9
517.1,6.03,15.8,41.1,36.0,7.2
