FIPS_Code,State,Decade,Unemployment_rate_
13027,GA,2000,5.0600000000000005
13029,GA,2000,4.29
13031,GA,2000,5.3
13033,GA,2000,8.0
13035,GA,2000,6.5200000000000005
13037,GA,2000,7.55
13039,GA,2000,5.1899999999999995
13043,GA,2000,5.49
13045,GA,2000,6.01
13047,GA,2000,4.38
13049,GA,2000,5.92
13051,GA,2000,4.9799999999999995
13053,GA,2000,10.370000000000001
13055,GA,2000,6.5200000000000005
13057,GA,2000,4.57
13059,GA,2000,4.6899999999999995
13061,GA,2000,6.0200000000000005
13063,GA,2000,6.65
13065,GA,2000,6.840000000000001
13067,GA,2000,5.04
13069,GA,2000,7.31
13071,GA,2000,5.7700000000000005
13073,GA,2000,4.37
13075,GA,2000,6.590000000000001
13077,GA,2000,5.12
13079,GA,2000,5.76
13081,GA,2000,6.890000000000001
13083,GA,2000,5.18
13085,GA,2000,4.87
13087,GA,2000,7.040000000000001
13089,GA,2000,5.970000000000001
13091,GA,2000,6.2700000000000005
13093,GA,2000,6.5200000000000005
13095,GA,2000,6.76
13097,GA,2000,5.63
13099,GA,2000,6.2700000000000005
13101,GA,2000,3.9899999999999998
13103,GA,2000,4.39
13105,GA,2000,7.140000000000001
13107,GA,2000,6.459999999999999
13109,GA,2000,5.32
13111,GA,2000,5.79
13113,GA,2000,4.51
13115,GA,2000,5.720000000000001
13117,GA,2000,4.24
13119,GA,2000,6.290000000000001
13121,GA,2000,5.92
13123,GA,2000,5.07
13125,GA,2000,6.220000000000001
13127,GA,2000,4.75
13129,GA,2000,6.04
13131,GA,2000,5.32
13133,GA,2000,7.33
13135,GA,2000,4.96
13137,GA,2000,5.08
13139,GA,2000,4.8
13141,GA,2000,10.27
13143,GA,2000,5.9399999999999995
13145,GA,2000,4.4
13147,GA,2000,7.19
13149,GA,2000,6.58
13151,GA,2000,5.16
13153,GA,2000,4.619999999999999
13155,GA,2000,7.209999999999999
13157,GA,2000,5.470000000000001
13159,GA,2000,6.029999999999999
13161,GA,2000,8.41
13163,GA,2000,9.08
13165,GA,2000,9.1
13167,GA,2000,7.279999999999999
13169,GA,2000,5.1
13171,GA,2000,6.790000000000001
13173,GA,2000,4.96
13175,GA,2000,6.32
13177,GA,2000,4.29
13179,GA,2000,6.14
13181,GA,2000,7.6
13183,GA,2000,4.38
13185,GA,2000,4.75
13187,GA,2000,5.37
13189,GA,2000,7.2
13191,GA,2000,5.529999999999999
13193,GA,2000,8.6
13195,GA,2000,4.7700000000000005
13197,GA,2000,5.91
13199,GA,2000,7.470000000000001
13201,GA,2000,5.0
13205,GA,2000,6.37
13207,GA,2000,5.15
13209,GA,2000,6.590000000000001
13211,GA,2000,5.15
13213,GA,2000,5.71
13215,GA,2000,6.17
13217,GA,2000,6.21
13219,GA,2000,3.6100000000000003
13221,GA,2000,4.790000000000001
13223,GA,2000,4.99
13225,GA,2000,6.56
13227,GA,2000,4.96
13229,GA,2000,5.21
13231,GA,2000,5.8100000000000005
13233,GA,2000,5.8
13235,GA,2000,5.529999999999999
13237,GA,2000,5.63
13239,GA,2000,7.26
13241,GA,2000,5.46
13243,GA,2000,8.3
13245,GA,2000,6.63
13247,GA,2000,5.859999999999999
13249,GA,2000,6.659999999999999
13251,GA,2000,6.9
13253,GA,2000,6.4799999999999995
13255,GA,2000,7.35
13257,GA,2000,6.17
13259,GA,2000,8.17
13261,GA,2000,7.2
13263,GA,2000,6.890000000000001
13265,GA,2000,8.93
13267,GA,2000,6.18
13269,GA,2000,7.340000000000001
13271,GA,2000,9.83
13273,GA,2000,6.94
13275,GA,2000,5.220000000000001
13277,GA,2000,5.89
13279,GA,2000,6.9
13281,GA,2000,4.75
13283,GA,2000,7.859999999999999
13285,GA,2000,6.8
13287,GA,2000,7.540000000000001
13289,GA,2000,6.65
13291,GA,2000,4.99
13293,GA,2000,7.9799999999999995
13295,GA,2000,5.51
13297,GA,2000,5.35
13299,GA,2000,6.24
13301,GA,2000,10.1
13303,GA,2000,7.07
13305,GA,2000,6.68
13307,GA,2000,6.01
13309,GA,2000,6.9799999999999995
13311,GA,2000,4.88
13313,GA,2000,5.8100000000000005
13315,GA,2000,7.090000000000001
13317,GA,2000,8.0
13319,GA,2000,6.35
13321,GA,2000,6.05
15000,HI,2000,3.84
15001,HI,2000,4.83
15003,HI,2000,3.62
15007,HI,2000,4.33
15009,HI,2000,3.9799999999999995
16000,ID,2000,5.01
16001,ID,2000,4.33
16003,ID,2000,10.47
16005,ID,2000,4.819999999999999
16007,ID,2000,4.37
16009,ID,2000,9.9
16011,ID,2000,4.34
16013,ID,2000,3.8899999999999997
16015,ID,2000,5.11
16017,ID,2000,6.88
